Simulation,Risk_Percentage
sim912,0.0
sim913,22.22222222222222
sim914,0.0
sim915,44.44444444444444
sim916,0.0
sim917,22.22222222222222
sim918,0.0
sim919,0.0
sim920,88.88888888888889
sim921,0.0
sim922,0.0
sim923,33.33333333333333
sim924,0.0
sim925,0.0
sim926,33.33333333333333
sim927,0.0
sim928,0.0
sim929,0.0
sim930,77.77777777777779
sim931,0.0
sim932,33.33333333333333
sim933,0.0
sim934,0.0
sim935,66.66666666666666
sim936,0.0
sim937,100.0
sim938,0.0
sim939,0.0
sim940,0.0
sim941,0.0
sim942,0.0
sim943,33.33333333333333
sim944,0.0
sim945,0.0
sim946,0.0
sim947,0.0
sim948,100.0
sim949,0.0
sim950,0.0
sim951,22.22222222222222
sim952,0.0
sim953,55.55555555555556
sim954,11.11111111111111
sim955,0.0
sim956,33.33333333333333
sim957,0.0
sim958,0.0
sim959,55.55555555555556
sim960,55.55555555555556
sim961,77.77777777777779
sim962,0.0
sim963,0.0
sim964,0.0
sim965,0.0
sim966,55.55555555555556
sim967,0.0
sim968,11.11111111111111
sim969,0.0
sim970,0.0
sim971,77.77777777777779
sim972,0.0
sim973,11.11111111111111
sim974,0.0
sim975,0.0
sim976,0.0
sim977,0.0
sim978,55.55555555555556
sim979,0.0
sim980,0.0
sim981,55.55555555555556
sim982,66.66666666666666
sim983,0.0
sim984,0.0
sim985,0.0
sim986,0.0
sim987,88.88888888888889
sim988,11.11111111111111
sim989,55.55555555555556
sim990,22.22222222222222
sim991,0.0
sim992,0.0
sim993,0.0
sim994,0.0
sim995,33.33333333333333
sim996,88.88888888888889
sim997,0.0
sim998,0.0
sim999,88.88888888888889
sim1000,0.0
sim1001,0.0
sim1002,88.88888888888889
sim1003,0.0
sim1004,44.44444444444444
sim1005,0.0
sim1006,0.0
sim1007,11.11111111111111
sim1008,0.0
sim1009,44.44444444444444
sim1010,0.0
sim1011,0.0
sim1012,0.0
sim1013,0.0
sim1014,0.0
sim1015,88.88888888888889
sim1016,0.0
sim1017,22.22222222222222
sim1018,55.55555555555556
sim1019,0.0
sim1020,0.0
sim1021,0.0
sim1022,0.0
sim1023,0.0
sim1024,66.66666666666666
sim1025,0.0
sim1026,44.44444444444444
sim1027,0.0
sim1028,44.44444444444444
sim1029,0.0
sim1030,0.0
sim1031,0.0
sim1032,0.0
sim1033,0.0
sim1034,0.0
sim1035,0.0
sim1036,22.22222222222222
sim1037,0.0
sim1038,0.0
sim1039,77.77777777777779
sim1040,0.0
sim1041,77.77777777777779
sim1042,55.55555555555556
sim1043,0.0
sim1044,0.0
sim1045,0.0
sim1046,55.55555555555556
sim1047,0.0
sim1048,0.0
sim1049,55.55555555555556
sim1050,0.0
sim1051,0.0
sim1052,0.0
sim1053,0.0
sim1054,0.0
sim1055,100.0
sim1056,88.88888888888889
sim1057,0.0
sim1058,0.0
sim1059,44.44444444444444
sim1060,0.0
sim1061,11.11111111111111
sim1062,0.0
sim1063,0.0
sim1064,77.77777777777779
sim1065,22.22222222222222
sim1066,0.0
sim1067,0.0
sim1068,0.0
sim1069,0.0
sim1070,100.0
sim1071,0.0
