Year,Type,Method,Group,Count,ParNums,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
2011,min,Quantile70_Group,High importance & High interaction,23,5,5,7,8,8,10,10,12,12,17,17,13,13,5,8,10,13,2,5,7,8,10,13,,,,
2011,min,Quantile70_Group,High importance & Low interaction,7,8,14,14,12,12,12,17,,,,,,,,,,,,,,,,,,,,
2012,min,Quantile70_Group,High importance & High interaction,24,5,5,8,10,10,10,12,12,17,13,13,13,1,2,5,10,13,1,2,4,5,7,10,13,,,
2012,min,Quantile70_Group,High importance & Low interaction,6,7,8,5,8,12,8,,,,,,,,,,,,,,,,,,,,,
2013,min,Quantile70_Group,High importance & High interaction,25,5,5,7,8,8,10,10,14,12,12,12,17,17,13,13,5,8,10,13,2,5,7,8,10,13,,
2013,min,Quantile70_Group,High importance & Low interaction,4,14,12,17,17,,,,,,,,,,,,,,,,,,,,,,,
2014,min,Quantile70_Group,High importance & High interaction,24,5,5,8,8,8,10,10,12,12,17,13,13,13,1,2,10,13,3,2,4,5,7,10,13,,,
2014,min,Quantile70_Group,High importance & Low interaction,6,7,14,12,5,8,12,,,,,,,,,,,,,,,,,,,,,
2015,min,Quantile70_Group,High importance & High interaction,26,5,5,7,8,8,8,10,10,10,12,12,17,13,13,13,5,8,10,13,2,4,5,7,8,10,13,
2015,min,Quantile70_Group,High importance & Low interaction,4,2,7,12,17,,,,,,,,,,,,,,,,,,,,,,,
2016,min,Quantile70_Group,High importance & High interaction,24,5,5,7,8,8,10,10,10,12,17,13,13,13,5,8,10,13,2,5,7,8,10,17,13,,,
2016,min,Quantile70_Group,High importance & Low interaction,4,2,12,17,12,,,,,,,,,,,,,,,,,,,,,,,
2017,min,Quantile70_Group,High importance & High interaction,24,5,5,8,10,10,10,10,12,12,12,17,17,13,13,13,8,10,13,5,7,8,10,17,13,,,
2017,min,Quantile70_Group,High importance & Low interaction,5,8,17,5,7,12,,,,,,,,,,,,,,,,,,,,,,
2018,min,Quantile70_Group,High importance & High interaction,24,5,5,7,8,10,10,12,17,13,13,13,13,5,8,10,13,2,4,5,7,8,10,17,13,,,
2018,min,Quantile70_Group,High importance & Low interaction,6,1,14,2,7,12,17,,,,,,,,,,,,,,,,,,,,,
2019,min,Quantile70_Group,High importance & High interaction,24,5,5,7,8,8,10,10,12,12,17,13,13,13,5,8,10,13,3,2,5,7,8,10,13,,,
2019,min,Quantile70_Group,High importance & Low interaction,4,14,17,2,12,,,,,,,,,,,,,,,,,,,,,,,
2020,min,Quantile70_Group,High importance & High interaction,25,5,5,7,8,8,10,10,12,12,17,13,13,5,8,10,10,17,13,2,5,7,8,10,17,13,,
2020,min,Quantile70_Group,High importance & Low interaction,4,14,14,2,12,,,,,,,,,,,,,,,,,,,,,,,
